country_name,city_name,news_index_1,news_index_2,news_index_3
Argentina,Buenos Aires Gran Buenos Aires,24,186,235
Argentina,Buenos Aires La Matanza,0,30,0
Argentina,Buenos Aires Lomas de Zamora,0,22,48
Argentina,Buenos Aires Quilmes,0,6,344
Argentina,Buenos Aires Lanus,1,6,413
Argentina,Buenos Aires Almirante Brown,0,4,38
Argentina,Buenos Aires Merlo,0,5,486
Argentina,Buenos Aires General San Martin,3,19,233
Argentina,Buenos Aires Avellaneda,2,14,142
Argentina,Buenos Aires San Isidro,2,8,112
Argentina,Buenos Aires Tres de Febrero,0,27,201
Argentina,Buenos Aires Moron,0,0,424
Argentina,Buenos Aires Moreno,1,22,105
Argentina,Buenos Aires Vicente Lopez,0,2,399
Argentina,Buenos Aires Florencio Varela,1,6,251
Argentina,Buenos Aires Tigre,1,2,463
Argentina,Buenos Aires Berazategui,0,1,426
Argentina,Buenos Aires Malvinas Argentinas,3,15,46
Argentina,Buenos Aires San Miguel (GBA),0,0,292
Argentina,Buenos Aires Esteban Echeverria,0,7,313
Argentina,Buenos Aires Jose C. Paz,2,0,38
Argentina,Buenos Aires Pilar,0,5,467
Argentina,Buenos Aires Hurlingham (GBA),0,0,406
Argentina,Buenos Aires Escobar,6,7,0
Argentina,Buenos Aires San Fernando,0,13,229
Argentina,Buenos Aires Ituzaingo,0,0,434
Argentina,Buenos Aires Ezeiza,13,40,144
Argentina,Tucuman Gran San Miguel de Tucuman,0,0,358
Argentina,Salta Salta,1,14,251
Argentina,Santiago del Estero Santiago del Estero,5,21,332
Argentina,Santiago del Estero Banda,0,0,114
Argentina,Jujuy Ledesma Libertador General San Martin,0,0,166
Argentina,Tucuman Lules,0,0,462
Argentina,Santiago del Estero Copo Monte Quemado,0,0,402
Argentina,Chaco Gran Resistencia,0,0,110
Argentina,Formosa Formosa,0,1,34
Argentina,Misiones Eldorado,0,0,105
Argentina,Buenos Aires Mercedes,0,19,339
Argentina,Chaco Charata,0,0,349
Argentina,Misiones Candelaria,0,0,18
Argentina,Neuquen Neuquen,0,4,382
Argentina,Chubut Comodoro Rivadavia,0,0,442
Argentina,Chubut Trelew,0,1,227
Argentina,Neuquen Cutral Co,0,0,197
Argentina,Chubut Puerto Madryn,0,0,475
Argentina,Chubut Rawson,0,0,508
Argentina,Mendoza Las Heras,0,1,406
Argentina,Buenos Aires Maipu,0,1,494
Argentina,Mendoza Lujan de Cuyo,0,0,358
Argentina,San Juan Chimbas,0,0,475
Argentina,San Luis Juana Koslay,0,0,199
Argentina,Corrientes Villa Cordoba,0,3,446
Argentina,Santa Fe Gran Rosario,0,0,243
Argentina,Santa Fe Santa Fe,42,137,183
Argentina,Cordoba Gran Rio Cuarto,0,0,388
Argentina,Santa Fe Villa Gobernador Galvez,0,0,189
Argentina,La Pampa General Pico,0,0,477
Argentina,Cordoba Alta Gracia,0,0,167
Argentina,Santa Fe Canada de Gomez,0,0,426
Argentina,Cordoba Laboulaye,0,0,217
Argentina,Cordoba La Falda,0,0,39
Argentina,Santa Fe Laguna Paiva,0,0,184
Argentina,Cordoba Santa Maria de Punilla,0,0,502
Argentina,Buenos Aires La Plata,14,98,386
Argentina,Buenos Aires Gran La Plata,3,3,233
Argentina,Buenos Aires Bahia Blanca,1,12,304
Argentina,Buenos Aires Junin,0,0,392
Argentina,Buenos Aires Chivilcoy,0,0,44
Argentina,Buenos Aires Balcarce,0,0,161
Argentina,Buenos Aires San Carlos de Bolivar,0,0,307
Argentina,Buenos Aires Coronel Suarez,0,0,324
Argentina,Buenos Aires Ayacucho,0,0,394
Argentina,Buenos Aires Carhue,0,0,402
Bolivia,Beni Trinidad,0,0,39
Bolivia,Beni Riberalta,0,0,347
Bolivia,Cochabamba Nueva Galilea,0,0,404
Bolivia,Chuquisaca Sucre,0,0,301
Bolivia,Chuquisaca Mosoj Llajta,0,0,188
Bolivia,Chuquisaca Padcoyo,0,0,266
Bolivia,Cochabamba Cochabamba,3,16,209
Bolivia,Cochabamba Sacaba,0,0,32
Bolivia,Cochabamba Quillacollo,0,0,358
Bolivia,Cochabamba Ivirgarzama,0,1,253
Bolivia,Cochabamba Arachaca,0,0,335
Bolivia,Cochabamba Chinchilla,0,0,208
Bolivia,Cochabamba Pocona,0,0,218
Bolivia,Cochabamba Tutimayu,0,0,322
Bolivia,La Paz La Paz,80,280,348
Bolivia,La Paz El Alto,31,64,448
Bolivia,La Paz Patacamaya,0,0,175
Bolivia,La Paz Cairoma,0,0,508
Bolivia,La Paz Inquisivi,0,0,219
Bolivia,La Paz San Antonio,2,0,357
Bolivia,Santa Cruz San Carlos Santa Fe,0,0,287
Bolivia,La Paz Taipiplaya,0,0,469
Bolivia,Oruro Oruro,12,7,466
Bolivia,La Paz Antequera,0,4,448
Bolivia,Pando Cobija,0,0,382
Bolivia,Pando Santa Lucia,0,0,188
Bolivia,Potosi Potosi,0,10,392
Bolivia,Potosi Llallagua,0,0,395
Bolivia,Potosi Tinguipaya,0,0,231
Bolivia,Potosi Chayanta Colquechaca,0,0,165
Bolivia,Potosi Quivi Quivi,0,0,368
Bolivia,Santa Cruz Santa Cruz de la Sierra,14,57,243
Bolivia,Santa Cruz Montero,5,7,304
Bolivia,Santa Cruz La Guardia,0,2,305
Bolivia,Santa Cruz Ascension de Guarayos,0,0,233
Bolivia,Santa Cruz Las Barreras,0,0,222
Bolivia,Santa Cruz Don Lorenzo,0,0,134
Bolivia,Santa Cruz Paurito,0,0,277
Bolivia,Santa Cruz La Asunta,0,0,225
Bolivia,Tarija Tarija,0,4,479
Bolivia,Tarija Yacuiba,0,0,143
Bolivia,Tarija Villa El Carmen,0,0,233
Brasil,Norte Manaus,0,3,284
Brasil,Norte Belem,0,0,133
Brasil,Norte Ananindeua,0,0,479
Brasil,Norte Rondon do Para,0,0,422
Brasil,Norte Para Curralinho,0,0,197
Brasil,Norte Rondonia Cacoal,0,0,243
Brasil,Sudeste Sao Joao Da Boa Vista,0,0,438
Brasil,Norte Tocantins Wanderlandia,0,0,356
Brasil,Nordeste Alagoas Arapiraca,0,0,351
Brasil,Nordeste Salvador,0,1,323
Brasil,Nordeste Ipojuca,0,0,326
Brasil,Nordeste Bahia Santo Antonio de Jesus,0,0,399
Brasil,Nordeste Bahia Jaguaquara,0,0,481
Brasil,Nordeste Bahia Buritirama,0,0,181
Brasil,Nordeste Bahia Casa Nova,0,0,365
Brasil,Nordeste Fortaleza,0,0,216
Brasil,Nordeste Ceara,0,0,311
Brasil,Nordeste Crateus,0,0,449
Brasil,Nordeste Juazeiro Do Norte,0,1,383
Brasil,Nordeste Sao Luis,0,0,388
Brasil,Nordeste Maranhao Presidente Sarney,0,0,205
Brasil,Nordeste Maranhao Tuntum,0,0,192
Brasil,Nordeste Joao Pessoa,0,0,213
Brasil,Nordeste Campina Grande,0,0,354
Brasil,Nordeste Pernambuco Recife,0,0,249
Brasil,Nordeste Jaboatao Dos Guararapes,0,0,217
Brasil,Nordeste Paulista,0,0,405
Brasil,Nordeste Pernambuco Aguas Belas,0,0,65
Brasil,Nordeste Pernambuco Tuparetama,0,0,342
Brasil,Sudeste Rio De Janeiro Paqueta,0,0,105
Brasil,Nordeste Rio Grande del Norte Jose da Penha,0,0,402
Brasil,Nordeste Sergipe Lagarto,0,0,362
Brasil,Sudeste Vila Velha,0,0,382
Brasil,Sudeste Anchieta,0,0,439
Brasil,Sudeste Belo Horizonte,0,0,392
Brasil,Sudeste Betim,0,0,444
Brasil,Sudeste Pedro Leopoldo,0,0,459
Brasil,Sudeste Minas Gerais Governador Valadares,0,0,324
Brasil,Sudeste Minas Gerais Aguas Formosas,0,0,312
Brasil,Sudeste Minas Gerais Paineiras,0,0,359
Brasil,Sudeste Minas Gerais Uberaba,0,0,293
Brasil,Sudeste Minas Gerais Sao Sebastiao do Paraiso,0,0,466
Brasil,Sudeste Paraisopolis,0,0,437
Brasil,Sudeste Juiz De Fora,0,0,445
Brasil,Sudeste Rio De Janeiro,0,0,116
Brasil,Sudeste Belford Roxo,0,0,445
Brasil,Sudeste Nova Iguacu,0,0,413
Brasil,Sudeste Duque De Caxias,0,0,468
Brasil,Sudeste Nilopolis,0,0,438
Brasil,Sudeste Sao Goncalo,0,0,473
Brasil,Sudeste Rio De Janeiro Petropolis,0,0,461
Brasil,Sudeste Nova Friburgo,0,0,45
Brasil,Sudeste Sao Paulo,0,0,366
Brasil,Sudeste Barueri,0,0,122
Brasil,Sudeste Osasco,0,0,468
Brasil,Sudeste Mairipora,0,0,321
Brasil,Sudeste Taboao da Serra,0,0,406
Brasil,Sudeste Itaquaquecetuba,0,0,439
Brasil,Sudeste Guarulhos,0,0,398
Brasil,Sudeste Ribeirao Pires,0,0,387
Brasil,Sudeste Sao Bernardo Do Campo,0,0,192
Brasil,Sudeste Itariri,0,0,415
Brasil,Norte Rio Branco,0,1,158
Brasil,Sudeste Sao Paulo Louveira,0,0,497
Brasil,Sudeste Sao Paulo Cruzeiro,0,0,375
Brasil,Sudeste Sao Paulo Hortolandia,0,0,417
Brasil,Sudeste Sao Paulo Mogi Guacu,0,0,30
Brasil,Sudeste Sao Paulo Orlandia,0,0,334
Brasil,Sudeste Sao Paulo Lins,0,0,415
Brasil,Sudeste Sao Carlos,0,0,463
Brasil,Sudeste Presidente Prudente,0,0,485
Brasil,Sul Curitiba,0,0,434
Brasil,Sul Sao Jose Dos Pinhais,0,0,0
Brasil,Sul Parana Mercedes,0,0,484
Brasil,Sul Parana Uniao da Vitoria,0,0,88
Brasil,Sul Porto Alegre,2,17,289
Brasil,Sul Cachoeirinha,0,0,138
Brasil,Sul Gravatai,0,0,279
Brasil,Sul Sapucaia Do Sul,0,0,265
Brasil,Sul Rio Grande do Sul Alecrim,0,0,279
Brasil,Sul Rio Grande do Sul Santa Maria,1,3,44
Brasil,Sul Rio Grande do Sul Osorio,0,0,361
Brasil,Sul Blumenau,0,0,0
Brasil,Sul Santa Catarina Icara,0,0,377
Brasil,Centro Oeste Brasilia,0,0,496
Brasil,Centro Oeste Goiania,0,0,439
Brasil,Centro Oeste Goias Catalao,0,0,24
Brasil,Centro Oeste Goias Alexania,0,0,168
Brasil,Centro Oeste Mato Grosso do Sur Chapadao do Sul,0,0,107
Brasil,Centro Oeste Mirassol Doeste,0,0,486
Brasil,Centro Oeste Mato Grosso Agua Boa,0,0,419
Colombia,Antioquia Medellin,1,44,113
Colombia,Antioquia Bello,0,2,276
Colombia,Caldas,0,0,456
Colombia,Antioquia Yarumal,1,1,473
Colombia,Caldas Manizales,0,0,332
Colombia,Quindio Salento,0,0,414
Colombia,Risaralda Pereira,5,0,390
Colombia,Risaralda Dosquebradas,0,0,495
Colombia,Risaralda Mistrato,0,0,443
Colombia,Atlantico Barranquilla,0,1,289
Colombia,Atlantico Soledad,0,0,101
Colombia,Atlantico Tubara,0,0,511
Colombia,Bolivar Cartagena de Indias,0,0,472
Colombia,Cesar Valledupar,2,2,196
Colombia,Cordoba Monteria,0,0,382
Colombia,La Guajira Riohacha,0,8,309
Colombia,Magdalena Santa Marta,5,2,237
Colombia,Sucre La Sabana San Luis de Since,0,0,514
Colombia,Bogota D.C.,3,5,209
Colombia,Boyaca Tunja,0,1,419
Colombia,Boyaca Duitama,0,0,234
Colombia,Boyaca Sotaquira,0,0,492
Colombia,Cundinamarca Soacha,0,0,280
Colombia,Casanare Yopal,0,1,358
Colombia,Norte de Santander Cucuta,0,12,455
Colombia,Norte de Santander Tibu,0,6,469
Colombia,Santander Bucaramanga,0,3,481
Colombia,Santander Floridablanca,0,1,379
Colombia,Casanare Paz de Ariporo,0,0,435
Colombia,Huila Neiva,3,0,395
Colombia,Tolima Ibague,0,0,48
Colombia,Caqueta Florencia,0,2,437
Colombia,Caqueta Cartagena del Chaira,0,0,392
Colombia,Caqueta Puerto Rico,8,1,458
Colombia,Meta Villavicencio,0,0,270
Colombia,Putumayo San Miguel,5,2,195
Colombia,Cauca Popayan,9,16,434
Colombia,Cauca Caldon,0,0,122
Colombia,Cauca Miranda,0,4,104
Colombia,Choco Bojaya,0,0,218
Colombia,Choco El Carmen de Atrato,0,5,145
Colombia,Narino Pasto,0,1,317
Colombia,Valle del Cauca Cali,15,55,87
Colombia,Valle del Cauca Buenaventura,0,25,168
Colombia,Valle del Cauca Palmira,0,3,324
Costa Rica,San Jose Alajuelita,0,2,138
Costa Rica,San Jose Aserri,0,0,491
Costa Rica,San Jose Curridabat,0,0,305
Costa Rica,San Jose Desamparados,0,1,463
Costa Rica,San Jose Escazu,0,7,494
Costa Rica,San Jose Goicoechea,0,0,375
Costa Rica,San Jose Montes de Oca,0,0,319
Costa Rica,San Jose Moravia,0,0,378
Costa Rica,San Jose San Jose,24,0,248
Costa Rica,San Jose Tibas,0,0,367
Costa Rica,San Jose Vasquez de Coronado,0,0,322
Costa Rica,San Jose Mora,0,0,405
Costa Rica,San Jose Santa Ana,0,0,327
Costa Rica,Alajuela Alajuela,0,0,282
Costa Rica,Alajuela Atenas,1,0,499
Costa Rica,Alajuela Grecia,0,0,189
Costa Rica,Alajuela Poas,0,0,46
Costa Rica,Cartago Cartago,1,0,448
Costa Rica,Cartago El Guarco,0,0,401
Costa Rica,Cartago La Union,0,0,313
Costa Rica,Cartago Oreamuno,0,0,357
Costa Rica,Cartago Paraiso,0,0,78
Costa Rica,Heredia Barva,0,0,128
Costa Rica,Heredia Belen,0,0,78
Costa Rica,Heredia Heredia,0,0,226
Costa Rica,Heredia San Pablo,0,0,294
Costa Rica,Heredia San Rafael,0,0,383
Costa Rica,Heredia Santa Barbara,0,0,359
Costa Rica,Heredia Santo Domingo,0,0,373
Costa Rica,San Jose Perez Zeledon,0,0,379
Costa Rica,San Jose Puriscal,0,0,306
Costa Rica,Alajuela Guatuso,0,0,99
Costa Rica,Alajuela Naranjo,0,0,332
Costa Rica,Alajuela Orotina,0,0,367
Costa Rica,Alajuela Palmares,0,0,225
Costa Rica,Alajuela San Carlos,0,0,105
Costa Rica,Alajuela San Ramon,0,0,444
Costa Rica,Alajuela Upala,0,0,251
Costa Rica,Cartago Alvarado,0,0,0
Costa Rica,Cartago Turrialba,0,0,384
Costa Rica,Heredia Sarapiqui,0,0,28
Costa Rica,Guanacaste Bagaces,0,0,302
Costa Rica,Guanacaste Canas,0,0,205
Costa Rica,Guanacaste Hojancha,0,0,407
Costa Rica,Guanacaste Liberia,0,0,159
Costa Rica,Guanacaste Nicoya,0,0,421
Costa Rica,Guanacaste Santa Cruz,0,0,158
Costa Rica,Guanacaste Tilaran,0,0,77
Costa Rica,Puntarenas Buenos Aires,0,0,376
Costa Rica,Puntarenas Corredores,0,0,101
Costa Rica,Puntarenas Esparza,0,0,372
Costa Rica,Puntarenas Garabito,0,0,86
Costa Rica,Puntarenas Golfito,0,0,274
Costa Rica,Puntarenas Parrita,0,0,513
Costa Rica,Puntarenas Puntarenas,6,0,222
Costa Rica,Limon Guacimo,0,0,193
Costa Rica,Limon Limon,1,0,118
Costa Rica,Limon Matina,0,0,159
Costa Rica,Limon Pococi,0,0,305
Costa Rica,Limon Siquirres,0,0,205
Costa Rica,Limon Talamanca,0,0,133
Chile,Arica y Parinacota Arica,0,0,68
Chile,Tarapaca Iquique,0,0,26
Chile,Tarapaca Alto Hospicio,0,0,127
Chile,Antofagasta Calama,0,0,148
Chile,Antofagasta Antofagasta,2,0,46
Chile,Atacama Copiapo,0,0,221
Chile,Atacama Vallenar,0,0,16
Chile,Coquimbo La Serena,0,0,303
Chile,Coquimbo Ovalle Limari,0,0,144
Chile,Coquimbo Coquimbo,5,0,463
Chile,Coquimbo Ovalle,0,0,362
Chile,Valparaiso Marga Marga Quilpue,0,0,342
Chile,Valparaiso Valparaiso Puchuncavi,0,0,334
Chile,Valparaiso Villa Alemana,0,0,196
Chile,Valparaiso La Calera,0,0,285
Chile,Valparaiso Concon,0,0,406
Chile,Valparaiso Vina Del Mar,3,0,126
Chile,Valparaiso Valparaiso,2,0,169
Chile,Valparaiso Quillota Las Cruzadas,0,0,283
Chile,Valparaiso Quillota,0,0,98
Chile,Valparaiso San Felipe,0,0,46
Chile,Valparaiso Calle Larga,0,0,105
Chile,Valparaiso Limache Lliu Lliu,0,0,369
Chile,Valparaiso Los Andes,0,0,314
Chile,Valparaiso San Antonio,0,0,124
Chile,Metropolitana Barnechea,0,0,292
Chile,Metropolitana Vitacura,0,0,45
Chile,Metropolitana Las Condes,0,0,507
Chile,Metropolitana La Reina,0,0,429
Chile,Metropolitana Providencia,0,0,61
Chile,Metropolitana Nunoa,0,0,365
Chile,Metropolitana Penalolen,0,0,205
Chile,Metropolitana Macul,0,0,228
Chile,Metropolitana Santiago de Chile,12,0,331
Chile,Metropolitana Quilicura,0,0,457
Chile,Metropolitana Huechuraba,0,0,308
Chile,Metropolitana Conchali,0,0,445
Chile,Metropolitana Recoleta,0,0,375
Chile,Metropolitana Independencia,0,0,197
Chile,Metropolitana Renca,0,0,254
Chile,Metropolitana Quinta Normal,0,0,168
Chile,Metropolitana Pudahuel,0,0,189
Chile,Metropolitana Cerro Navia,0,0,443
Chile,Metropolitana Lo Prado,0,0,444
Chile,Metropolitana Estacion Central,0,0,106
Chile,Metropolitana Maipu,0,0,305
Chile,Metropolitana San Miguel,0,1,487
Chile,Metropolitana Pedro Aguirre Cerda,0,0,465
Chile,Metropolitana Cerrillos,0,0,141
Chile,Metropolitana Lo Espejo,0,0,412
Chile,Metropolitana San Joaquin,0,0,48
Chile,Metropolitana La Cisterna,0,0,304
Chile,Metropolitana El Bosque,0,0,379
Chile,La Araucania San Ramon,0,0,27
Chile,Metropolitana La Granja,0,0,378
Chile,Metropolitana La Pintana,0,0,226
Chile,Metropolitana La Florida,0,1,138
Chile,Metropolitana San Bernardo,0,0,472
Chile,Metropolitana Puente Alto,0,0,469
Chile,Metropolitana Talagante Padre Hurtado,0,0,308
Chile,Metropolitana Chacabuco Til Til,0,0,31
Chile,Metropolitana Paine,0,0,205
Chile,Metropolitana Santiago de Chile Buin,0,0,0
Chile,Metropolitana Santiago de Chile Lampa,0,0,308
Chile,Metropolitana Penaflor,0,0,35
Chile,Libertador Bernardo O'Higgins San Vicente de Tagua,0,0,229
