,CIUDAD,city,country,tamciud,lat,lon,radius_m,amenity_bar,amenity_bar_per100k,amenity_pub,amenity_pub_per100k,amenity_cafe,amenity_cafe_per100k,amenity_community_centre,amenity_community_centre_per100k,amenity_social_centre,amenity_social_centre_per100k,amenity_arts_centre,amenity_arts_centre_per100k,amenity_theatre,amenity_theatre_per100k,amenity_music_venue,amenity_music_venue_per100k,amenity_place_of_worship,amenity_place_of_worship_per100k,amenity_social_facility,amenity_social_facility_per100k,office_political_party,office_political_party_per100k,office_association,office_association_per100k,office_ngo,office_ngo_per100k,club_sport,club_sport_per100k,club_social,club_social_per100k,leisure_park,leisure_park_per100k,leisure_garden,leisure_garden_per100k,leisure_common,leisure_common_per100k,leisure_sports_centre,leisure_sports_centre_per100k,leisure_pitch,leisure_pitch_per100k,third_places,third_places_per100k
0,32101014,AR: Mendoza-Lujan de Cuyo,Argentina,6,-33,-69.33333333,2000,1,1.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,28,0,0,0,0,0,0,1,1.333333333,12,16,0,0,38,50.66666667,5,6.666666667,0,0,12,16,0,0,90,120
1,32102002,AR: San Juan-Chimbas,Argentina,6,-31.48722222,-68.52666667,2000,0,0,0,0,45,60,1,1.333333333,0,0,0,0,0,0,0,0,7,9.333333333,0,0,2,2.666666667,2,2.666666667,0,0,0,0,0,0,79,105.3333333,0,0,0,0,3,4,5,6.666666667,144,192
2,32207008,AR: Jujuy-Ledesma-Libertador General San Martin,Argentina,4,-23.81305556,-64.79333333,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13.33333333,0,0,0,0,1,3.333333333,0,0,0,0,0,0,6,20,0,0,0,0,9,30,20,66.66666667,40,133.3333333
3,32209000,AR: Salta-Salta,Argentina,7,-24.78583333,-65.41166667,2000,10,4,3,1.2,49,19.6,7,2.8,2,0.8,3,1.2,3,1.2,0,0,18,7.2,3,1.2,0,0,0,0,0,0,1,0.4,0,0,99,39.6,3,1.2,0,0,11,4.4,74,29.6,286,114.4
4,32301001,AR: Buenos Aires-Almirante Brown,Argentina,7,-34.83333333,-58.33333333,2000,0,0,0,0,30,12,1,0.4,0,0,0,0,1,0.4,0,0,41,16.4,0,0,1,0.4,4,1.6,0,0,0,0,0,0,25,10,0,0,0,0,6,2.4,120,48,229,91.6
5,32301002,AR: Buenos Aires-Avellaneda,Argentina,7,-34.66666667,-58.33333333,2000,0,0,0,0,30,12,2,0.8,0,0,0,0,1,0.4,0,0,10,4,1,0.4,2,0.8,0,0,0,0,0,0,0,0,55,22,6,2.4,0,0,7,2.8,45,18,159,63.6
6,32301004,AR: Buenos Aires-Bahia Blanca,Argentina,7,-38.7175,-62.26527778,2000,12,4.8,10,4,38,15.2,16,6.4,1,0.4,3,1.2,4,1.6,0,0,11,4.4,7,2.8,2,0.8,4,1.6,0,0,3,1.2,1,0.4,71,28.4,41,16.4,3,1.2,25,10,36,14.4,288,115.2
7,32301005,AR: Buenos Aires-Berazategui,Argentina,7,-34.76527778,-58.21277778,2000,0,0,5,2,4,1.6,7,2.8,1,0.4,0,0,0,0,0,0,3,1.2,0,0,0,0,0,0,0,0,0,0,0,0,38,15.2,0,0,2,0.8,7,2.8,19,7.6,86,34.4
8,32301008,AR: Buenos Aires-Esteban Echeverria,Argentina,7,-34.81916667,-58.46583333,2000,7,2.8,17,6.8,18,7.2,6,2.4,0,0,2,0.8,1,0.4,0,0,3,1.2,0,0,1,0.4,0,0,1,0.4,1,0.4,0,0,22,8.8,0,0,0,0,14,5.6,13,5.2,106,42.4
9,32301010,AR: Buenos Aires-Florencio Varela,Argentina,7,-34.83333333,-58.25,2000,0,0,0,0,0,0,2,0.8,1,0.4,0,0,0,0,0,0,5,2,1,0.4,0,0,0,0,0,0,5,2,0,0,30,12,0,0,0,0,5,2,9,3.6,58,23.2
